_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
63ecc95bf3c7a100079616e6,WIPRO,EQ,N,407.85,400.35,402.7,407.4,407.0,405.1,2613836,1058358799.9,616.0,372.4,53825,INE075A01022,2023-02-15,2023-02-14T18:30:00.000Z,2023-02-15T12:00:27.375Z,2023-02-15T12:00:27.375Z,0,,404.91,15-Feb-2023,
63eb77e02dd7bc0006b22c1e,WIPRO,EQ,N,406.45,401.5,403.0,405.1,405.2,400.6,2319411,939196277.6,616.0,372.4,50277,INE075A01022,2023-02-14,2023-02-13T18:30:00.000Z,2023-02-14T12:00:32.163Z,2023-02-14T12:00:32.163Z,0,,404.93,14-Feb-2023,
63ea26627f00b1000747310d,WIPRO,EQ,N,405.65,399.2,405.65,400.6,400.65,405.8,2412678,968357629.25,616.0,372.4,47729,INE075A01022,2023-02-13,2023-02-12T18:30:00.000Z,2023-02-13T12:00:34.270Z,2023-02-13T12:00:34.270Z,0,,401.36,13-Feb-2023,
642835e7faf76300072eef75,WIPRO,EQ,N,407.0,402.8,407.0,405.8,405.25,408.3,2580070,1045548071.5,616.0,372.4,58591,INE075A01022,2023-02-10,2023-02-09T18:30:00.000Z,2023-04-01T13:47:19.043Z,2023-04-01T13:47:19.043Z,0,,405.24,10-Feb-2023,
63e4e0621df6cc0007b3d177,WIPRO,EQ,N,408.95,403.55,406.75,408.3,407.7,406.75,2638687,1072997130.15,616.0,372.4,47612,INE075A01022,2023-02-09,2023-02-08T18:30:00.000Z,2023-02-09T12:00:34.220Z,2023-02-09T12:00:34.220Z,0,,406.64,09-Feb-2023,
63e38edb77e63d0007d9b6aa,WIPRO,EQ,N,407.6,401.0,401.0,406.75,407.5,400.5,4150488,1683115908.55,616.0,372.4,65874,INE075A01022,2023-02-08,2023-02-07T18:30:00.000Z,2023-02-08T12:00:27.197Z,2023-02-08T12:00:27.197Z,0,,405.52,08-Feb-2023,
63e23d7d9029740006c92019,WIPRO,EQ,N,405.5,399.05,405.5,400.5,400.6,404.65,3341790,1339399605.2,616.0,372.4,65776,INE075A01022,2023-02-07,2023-02-06T18:30:00.000Z,2023-02-07T12:01:01.784Z,2023-02-07T12:01:01.784Z,0,,400.8,07-Feb-2023,
63e0ebfee9486e000641a4d2,WIPRO,EQ,N,406.2,401.6,405.4,404.65,405.0,407.9,2979011,1203126501.65,616.0,372.4,67838,INE075A01022,2023-02-06,2023-02-05T18:30:00.000Z,2023-02-06T12:01:02.143Z,2023-02-06T12:01:02.143Z,0,,403.87,06-Feb-2023,
6428332e7ae9d00007114fd0,WIPRO,EQ,N,413.0,406.15,412.55,407.9,407.2,409.45,4425118,1808513165.15,616.0,372.4,96647,INE075A01022,2023-02-03,2023-02-02T18:30:00.000Z,2023-04-01T13:35:42.731Z,2023-04-01T13:35:42.731Z,0,,408.69,03-Feb-2023,
63dba5e049199b0007c38969,WIPRO,EQ,N,410.0,402.4,402.4,409.45,409.95,402.4,5417730,2204188071.1,616.0,372.4,96633,INE075A01022,2023-02-02,2023-02-01T18:30:00.000Z,2023-02-02T12:00:32.320Z,2023-02-02T12:00:32.320Z,0,,406.85,02-Feb-2023,
63da545ace536a0007465047,WIPRO,EQ,N,403.9,398.35,401.5,402.4,402.0,398.85,3514948,1411038151.95,616.0,372.4,80393,INE075A01022,2023-02-01,2023-01-31T18:30:00.000Z,2023-02-01T12:00:26.857Z,2023-02-01T12:00:26.857Z,0,,401.44,01-Feb-2023,
63d902df595bb20007085745,WIPRO,EQ,N,402.55,397.7,402.3,398.85,398.75,402.25,4783423,1911698113.55,616.0,372.4,95774,INE075A01022,2023-01-31,2023-01-30T18:30:00.000Z,2023-01-31T12:00:31.907Z,2023-01-31T12:00:31.907Z,0,,399.65,31-Jan-2023,
63d7b17d664d7a00067822b4,WIPRO,EQ,N,404.8,395.05,398.05,402.25,402.5,398.05,3630628,1456511572.55,616.0,372.4,80437,INE075A01022,2023-01-30,2023-01-29T18:30:00.000Z,2023-01-30T12:01:01.678Z,2023-01-30T12:01:01.678Z,0,,401.17,30-Jan-2023,
642821069d5f4500072ed356,WIPRO,EQ,N,403.6,394.2,401.55,398.05,399.0,401.55,3705067,1477311284.8,616.0,372.4,96233,INE075A01022,2023-01-27,2023-01-26T18:30:00.000Z,2023-04-01T12:18:14.253Z,2023-04-01T12:18:14.253Z,0,,398.73,27-Jan-2023,
63d119fe1947950006dff58f,WIPRO,EQ,N,405.9,400.0,405.0,401.55,401.4,406.6,3177777,1277893745.6,616.0,372.4,78480,INE075A01022,2023-01-25,2023-01-24T18:30:00.000Z,2023-01-25T12:01:02.362Z,2023-01-25T12:01:02.362Z,0,,402.13,25-Jan-2023,
63cfc87d1e67540007c919f2,WIPRO,EQ,N,410.2,405.15,408.4,406.6,406.35,407.0,4776320,1944979940.0,616.0,372.4,89359,INE075A01022,2023-01-24,2023-01-23T18:30:00.000Z,2023-01-24T12:01:01.816Z,2023-01-24T12:01:01.816Z,0,,407.21,24-Jan-2023,"[{'symbol': 'WIPRO', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': 'Interim Dividend - Re  1 Per Share', 'exDate': '24-Jan-2023', 'recDate': '25-Jan-2023', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Wipro Limited', 'isin': 'INE075A01022', 'ndEndDate': '-', 'caBroadcastDate': None}]"
